  -273.675   461.378  -522.191		 -0.707107  0.707107   68.0251
   1295.98  -560.141         0		  -410.987   410.987         0
   1059.95   1071.15         0		  -132.398   132.398         0
     678.5  -373.528         0		  -430.196   480.172         0
  -61.7614   54.9211         0		   -195.71    195.71         0
  -436.786   462.571         0		  -91.0595   91.0595         0
   909.351    1155.6         0		   -163.92    163.92         0
   772.611  -442.679  -127.661		 -0.707107  0.707107  -146.629
   673.681  -631.364    530.61		 -0.707107  0.707107   80.0204
  -391.919  -961.752    220.48		 -0.707107  0.707107    -68.96
   1477.65   999.626         0		      -588   88.4863         0
   37.4619  -813.464   1009.78		 -0.707107  0.707107   38.1992
   912.593  -60.8802   828.591		 -0.707107  0.707107  -74.1216
   -137.38   739.724   676.126		 -0.707107  0.707107   106.708
   484.546  -214.555         0		   -240.57    240.57         0
   750.191   352.881   557.612		 -0.707107  0.707107   37.5644
   134.573   1411.47         0		  -246.973   456.109         0
   17.3065   443.486         0		  -539.519   45.9122         0
   540.466   155.132   358.219		 -0.707107  0.707107  -98.5582
  -365.555   640.315   915.434		 -0.707107  0.707107   31.8244
   -414.89  -605.006  -439.725		 -0.707107  0.707107  -139.956
  -50.9078  -244.659         0		  -593.829   593.829         0
   561.169  -970.014   559.715		 -0.707107  0.707107   -120.34
   634.647  -57.0277   220.587		 -0.707107  0.707107   135.081
   93.1694  -142.937         0		  -548.998   179.331         0
  -595.754  -1.71007   218.316		 -0.707107  0.707107  -75.4336
   957.647   1375.15         0		  -480.776   504.764         0
   626.407   1110.18         0		  -525.708   264.343         0
   1281.53   1216.38         0		  -591.623   631.553         0
  -998.303  -589.748    677.62		 -0.707107  0.707107   153.277
     782.8   253.198         0		   -186.13   51.7232         0
   1425.93  -656.995         0		  -445.062   216.136         0
  -708.505   648.628         0		  -86.1077   86.1077         0
  -889.486  -137.875   785.566		 -0.707107  0.707107   35.4424
  -185.618   552.456         0		  -517.344   517.344         0
   816.271   357.916  -818.514		 -0.707107  0.707107   79.7348
  -152.668  -396.177         0		  -336.219   336.219         0
   1308.59  -140.093         0		  -520.474   520.474         0
   220.852   182.217   77.6795		 -0.707107  0.707107   80.7764
   946.907    1262.4         0		  -622.406   622.406         0
   1500.12   270.961         0		  -600.441    181.83         0
   560.751   490.594   850.068		 -0.707107  0.707107   74.3622
   9.91165  -354.006   193.274		 -0.707107  0.707107  -147.708
   599.645   843.349         0		  -407.461    216.06         0
   828.937   843.345    702.08		 -0.707107  0.707107  -124.241
  -568.121   520.598         0		  -61.8058   110.909         0
   468.624  -280.243         0		  -165.554   327.845         0
   519.695   93.1561   94.7566		 -0.707107  0.707107   109.461
   756.559  -284.157         0		  -212.359   372.973         0
  -509.478   -736.81   882.103		 -0.707107  0.707107   -105.02
   845.385   802.228         0		  -380.849   167.818         0
  -149.883   -445.65   100.483		 -0.707107  0.707107   3.88227
  -127.408    688.34         0		   -247.32   478.581         0
   773.717  -394.622         0		  -566.411   516.855         0
  -396.847  -365.615         0		  -67.9707   68.7833         0
   251.857   797.594         0		  -674.772   674.772         0
   595.334  -950.776  -609.478		 -0.707107  0.707107  -144.841
   1399.31  -48.4007         0		  -481.691   481.691         0
   897.498    133.53         0		  -544.529   370.041         0
  -323.079  -467.066         0		  -123.424   123.424         0
   1169.42   247.197         0		  -418.266   662.363         0
   267.755  -805.983         0		   -243.92   140.991         0
